best_lb.0,time
316782.0,145.1
316572.0,145.2
316362.0,145.3
316153.0,145.4
315948.0,145.5
315745.0,145.6
315544.0,145.7
315344.0,145.8
315155.0,145.9
314971.0,146
314788.0,146.1
314609.0,146.2
314438.0,146.3
314267.0,146.4
314098.0,146.5
313935.0,146.6
313776.0,146.7
313617.0,146.8
313467.0,146.9
313324.0,147
313184.0,147.1
313047.0,147.2
312911.0,147.3
312782.0,147.4
312654.0,147.5
312527.0,147.6
312400.0,147.7
312273.0,147.8
312146.0,147.9
312027.0,148
311912.0,148.1
311800.0,148.2
311689.0,148.3
311580.0,148.4
311471.0,148.5
311365.0,148.6
311265.0,148.7
311170.0,148.8
311075.0,148.9
310982.0,149
310892.0,149.1
310816.0,149.2
310741.0,149.3
310672.0,149.4
310605.0,149.5
310540.0,149.6
310477.0,149.7
310427.0,149.8
310412.0,149.9
310351.0,150
310351.0,150.1
310359.0,150.2
310420.0,150.3
310483.0,150.4
310550.0,150.5
310617.0,150.6
310686.0,150.7
310761.0,150.8
310837.0,150.9
310927.0,151
311020.0,151.1
311115.0,151.2
311210.0,151.3
311310.0,151.4
311416.0,151.5
311525.0,151.6
311634.0,151.7
311745.0,151.8
311857.0,151.9
311972.0,152
312091.0,152.1
312218.0,152.2
312345.0,152.3
312472.0,152.4
312599.0,152.5
312727.0,152.6
312856.0,152.7
312992.0,152.8
313129.0,152.9
313269.0,153
313412.0,153.1
313562.0,153.2
313721.0,153.3
313880.0,153.4
314043.0,153.5
314212.0,153.6
314383.0,153.7
314554.0,153.8
314733.0,153.9
314917.0,154
315106.0,154.1
315306.0,154.2
315507.0,154.3
315710.0,154.4
315915.0,154.5
316124.0,154.6
316334.0,154.7
316544.0,154.8
316755.0,154.9
316968.0,155
317183.0,155.1
317400.0,155.2
317619.0,155.3
317844.0,155.4
318070.0,155.5
318296.0,155.6
318524.0,155.7
318754.0,155.8
318989.0,155.9
319227.0,156
319465.0,156.1
319710.0,156.2
319961.0,156.3
320213.0,156.4
320466.0,156.5
320640.0,156.6
320387.0,156.7
320135.0,156.8
319884.0,156.9
319639.0,157
319401.0,157.1
319163.0,157.2
318928.0,157.3
318698.0,157.4
318470.0,157.5
318244.0,157.6
318018.0,157.7
317793.0,157.8
317574.0,157.9
317357.0,158
317142.0,158.1
316929.0,158.2
316718.0,158.3
316508.0,158.4
